,_id,favorites,geo,hashtags,id,mentions,retweets,text,user
135,598506c276d31349b060b29f,0,,,892559507892699138,,0,Any suggestions for how to get directv on a smarttv (without screen mirroring) when the rain kills the signal during football games?,fsutanker
136,598506c276d31349b060b2a0,0,,,892554732300054528,,0,A Lesson Learned From Walking In The Rain http:// vanessaleenic.com/2017/08/02/a-l esson-learned-from-walking-in-the-rain/ … pic.twitter.com/kfVLtc6Nmy,VanessaLeeNic
137,598506c276d31349b060b2a1,0,,,892553638564032518,,0,The whale dies. Alone. In the rain .,the_deep_magic
138,598506c276d31349b060b2a2,1,,,892549065694736384,,0,"Yes, you have to watch the sun. It's cool here after all the rain .",rkmeeks7
139,598506c276d31349b060b2a3,2,,,892539054977318913,,0,she's so cute and this week she turned up again and looked skinny and a bit downtrodden especially after the rain,mirrordarkling
140,598506c276d31349b060b2a4,0,,,892535865381195776,,0,"Happy Belated Birthday Momma Jo! I was celebrating at Harry World with a frozen butterbeer, and the lovely rain . Hope your day was great!",artdebogallery
141,598506c276d31349b060b2a5,5,,,892528002608898049,,3,Marco Rubio has not even done a shout out to Miami which is flooded right now. Rain dumps a sign of climate change. https:// twitter.com/christophcrews /status/892527283684220928 …,LeChatNoire4
142,598506c276d31349b060b2a6,1,,,892526913545261056,,0,I was sad and jack made buffalo wings out of cauliflower and now I'm happy,RainAudet
143,598506c276d31349b060b2a7,2,,,892525420742049793,@RachTheRapper,0,"Me: Could you imagine riding home in an open jeep in the rain ?! @RachTheRapper :I mean yeah, I've got a pretty good imagination",jennlikestweets
144,598506c276d31349b060b2a8,1,,,892519237675307008,,0,Just trying to relax on a rainy Tuesday evening. Love the rain .,MVirginia82
145,598506c276d31349b060b2a9,0,,,892517614781698049,@united,0,United Airlines leaves dog in pet carrier sitting outside in the cold rain @united never use this airline http:// honesttopaws.com/united-airline s-dog-controversy/?pas=1&as=589TTD …,agada1
146,598506c276d31349b060b2aa,0,,,892514640764313600,,0,Stupid rain ..... waiting until it stops... sigh...always something,mianji8579
147,598506c276d31349b060b2ab,0,,#caughtintherain,892511839057321984,,0,I didn't beat the rain today. #caughtintherain pic.twitter.com/QJn1mQO6Nu,Laurensaga
148,598506c276d31349b060b2ac,0,,#SameStars,892505282865188864,,0,"When the weather man says it’s alright, either way it’s gonna rain . I tried my hardest to call you, but I couldn’t find it in me. #SameStars",wearebearcubs
149,598506c276d31349b060b2ad,1,,,892504020375527429,,0,"Remember the movie "" Rain Man"" as you read the words.",aandbz
150,598506c276d31349b060b2ae,1,,,892501809788485634,,2,"Rick Scott and Marco Rubio. No such thing as climate change with 4"" in 3 hours in Miami? When it rains now it dumps rain . https:// twitter.com/robertsonadams /status/892500941525716993 …",LeChatNoire4
151,598506c276d31349b060b2af,2,,,892501027051667458,,0,"Rain Man! He lives... Have to go to Kmart, definitely Kmart",aandbz
152,598506c276d31349b060b2b0,0,,,892500976384561152,,0,Premium Quality 12′ Hammock Rain Fly & Tent Shelter By Boundary Waterz – Waterproof & Sturdy Construction –… http:// 2gocamp.com/premium-qualit y-12-hammock-rain-fly-tent-shelter-by-boundary-waterz-waterproof-sturdy-construction-lightweight-easy-to-set-up-stakes-included-ideal-for-camping-backpacking/ …,dnv79
153,598506c276d31349b060b2b1,0,,,892496033967734784,,0,"Rain -drenched plus air conditioning is not a fantastic combination, friends. *shivers*",Cait_Greer
154,598506c276d31349b060b2b2,0,,,892494679740207108,,0,Hope it don't rain tomorrow cause I'm tryna slide on my potna,MeTwice_
155,598506c276d31349b060b2b3,0,,,892494507610132481,,0,GANG GANG,Darren_1319
156,598506c276d31349b060b2b4,0,,,892477105216335876,,0,This rain tho <,JustAKidFromDR
157,598506c276d31349b060b2b5,1,,,892476919312199681,,0,"Chill b, people in Miami already don't know how to drive, rain and lightning only make it worse",wavymaurii
158,598506c276d31349b060b2b6,2,,,892474389421318149,,0,Adam Levine + Old Blue + Purple Rain = Perfection,waycoolgizmo
159,598506c276d31349b060b2b7,4,,,892472697309057024,,0,Might have went a little too hard playing in the rain puddle outside my house...my panties are wet,heyitsJaclyn
160,598506c276d31349b060b2b8,3,,,892471480273051649,,0,Perfect weather: Light rain with distant thunder. Such soothing noises.,Kossuel
161,598506c276d31349b060b2b9,0,,#BecauseFlorida,892468135114268674,,0,Sunny rain #BecauseFlorida,omidyea
162,598506c276d31349b060b2ba,0,,,892433971614822400,,0,"That's not flooding, that's heavy rain . Sarasota is fine! https:// twitter.com/firecom_mel/st atus/892042150841634818 …",aedmondsauthor
163,598506c276d31349b060b2bb,1,,,892433893969756160,,0,"Sunshine or rain , Florida drivers are always an effin' pain.",hvnlydaze
164,598506c276d31349b060b2bc,0,,,892430347761221633,,1,"""There's gonna be some rain There's gonna be some pain""",_BRE_YONCE_
165,598506c276d31349b060b2bd,0,,#quote #chainsoff #lastdays #EndTimes,892418835483066368,,0,"Raise your words, not voice. It is rain that grows flowers, not thunder. - Rumi #quote #chainsoff #lastdays #EndTimes",chainsoff
166,598506c276d31349b060b2be,2,,,892418320829485057,,1,"Omg this rain , y'all be safe driving out there..",_ToxicatedSoul
167,598506c276d31349b060b2bf,2,,#Golf,892404727174107137,,4,"Bobby Jones #Golf Club is still rain soaked & temporarily closed w/unplayable conditions. Weather permitting, the course will reopen tmrw. pic.twitter.com/NZzoopZCtR",CityofSarasota
168,598506c276d31349b060b2c0,1,,#bromeliads #tropicalplants #FL,892395746233810944,,0,Bromeliad's cupped shape growth holds the rain which is the primary support for hundreds of species of life. #bromeliads #tropicalplants #FL,JoniSueThum
169,598506c276d31349b060b2c1,1,,,892392231361032192,,0,I think the rain we had yesterday was identical to a summer thunderstorm,maddiesmom019
170,598506c276d31349b060b2c2,0,,,892385843800821760,,0,We were lucky & really just had on & off rain !!,anggrand
171,598506c276d31349b060b2c3,0,,,892385501864497152,,0,In Deltona where I live we hardly could tell there was a storm. We got more rain before it than during it.,mindbodythought
172,598506c276d31349b060b2c4,0,,,892379981225046016,,0,I can believe that. That storm was full of rain . I wish you a better day today.,rkmeeks7
173,598506c276d31349b060b2c5,3,,,892376726168363009,,0,Just got my second job and schools about to start full time goooood byeeeeeeee world,RainAudet
174,598506c276d31349b060b2c6,0,,,892358418186387456,,0,"""that guy's out there in the rain ..."" should i give him money?"" ""yes!"" ""ok but wait do you feel it"" ""what"" ""do you feel it in your heart""",mercyfees
175,598506c276d31349b060b2c7,1,,,892353909003563010,,0,Such a beautiful morning after a day of rain yesterday. https://www. instagram.com/p/BXQBbqpALn_/,AllThingsDog
176,598506c276d31349b060b2c8,4,,,892352633469632513,,0,Final greens aerification of the year today. Hopefully the weather holds out. 1.75 rain yesterday. pic.twitter.com/lFtv1VWJxM,JustinCAllison_
177,598506c276d31349b060b2c9,1,,,892349291297210368,,0,No we had a nice gentle rain for the most part most of the day. no tropical wind or anything.,disneydeb67
178,598506c276d31349b060b2ca,0,,#sm31672168,892333460408291328,,0,[My List] 四季折々に揺蕩いて／After the Rain 【そらる×まふまふ】 http:// nico.ms/sm31672168?nic orepotwitter_mylist_video … #sm31672168,Chibikarin
179,598506c276d31349b060b2cb,0,,#TSEmily #Thankful,892329689896939520,,0,"Was actually a bit surprised we didn't get more rain from #TSEmily yesterday, but I am by no means complaining about that. #Thankful",Beau_Denison
180,598506c276d31349b060b2cc,0,,,892319271472201728,@Tebow815,0,@Tebow815 hi sweets!!! Holy Emily rain ! ! After today I'm off for wed-sun pic.twitter.com/Ei2W0WtvlK,TStarrC
181,598506c276d31349b060b2cd,0,,,892252580746858496,,0,this rain rn >,nkiaraa
182,598506c276d31349b060b2ce,5,,,892248604441751552,,0,If risk of rain wasnt broken n' buggy as hell i would totally pull like 15 people to play it,KororoSlowbro
183,598506c276d31349b060b2cf,0,,,892236873426403328,,0,"i love just sittin' in my room and listening to the rain , it be so relaxing",_tizzzzol
184,598506c276d31349b060b2d0,1,,,892229476880351232,,0,Yo it's just rain . Chill lol,Fore1336
185,598506c276d31349b060b2d1,3,,,892228469693833216,,1,I had no idea until I saw it on Snapchat. I thought the rain was what we get daily https:// twitter.com/kellygriffith9 3/status/892057250231177216 …,Truly_Parvina
186,598506c276d31349b060b2d2,0,,#anthonyScaramucci #Keepcancerkidscovered,892225876296859652,,0,"There was Rain , Wind, Flood Warnings, Surge,Tropical Depression Emily #anthonyScaramucci OVER & OUT - What's IN? #Keepcancerkidscovered",kidsforcancer
187,598506c276d31349b060b2d3,1,,,892223878415605761,,0,"Current Conditions : 74.8F / 23.8C, Light Rain - 11:20 PM EDT Jul. 31 http:// dlvr.it/PZwq3L",Markbyrd777
188,598506c276d31349b060b2d4,1,,,892222583885750273,,0,Ty much! I'm in Tampa. Looks like we will get band's of rain but thank goodness it's south of us,bampac29
189,598506c276d31349b060b2d5,0,,,892219464636354564,,0,It's just casual rain calm down https:// twitter.com/kmillerweather /status/892037968755654656 …,analizgarciaYT
190,598506c276d31349b060b2d6,0,,,892216895700684802,,0,Soul For Real - Candy Rain,386jamzradio
191,598506c276d31349b060b2d7,1,,,892214541882454016,,0,thankfully only some rain from Tropical Storm Emily and no flooding,eGolf63
192,598506c276d31349b060b2d8,1,,#mtb #mountainbikeracing #mountainbike #norain,892211695577444356,@stradalli @Stradalli,0,Escaped the Rain @stradalli @Stradalli #mtb #mountainbikeracing #mountainbike #norain … https://www. instagram.com/p/BXPAwdngfI9/,Stradalli
193,598506c276d31349b060b2d9,3,,,892209298549420032,,1,"I live in Charlotte County Florida and so far all we have had is a bunch of torrential rain and gusting winds, so far so good! https:// twitter.com/Breaking911/st atus/892091290703319044 …",UniqueMarique
194,598506c276d31349b060b2da,1,,,892207666243801088,,0,"Fortunately for me just lots of rain , and still raining. But, the Gulf coast got slammed, flooding, some destruction.. sorta bad :(",rkmeeks7
195,598506c276d31349b060b2db,1,,#Emily,892206523799220225,,0,Tornado warning in my area. Heavy Rain with light wind. Effects from TS Emily. Been damped all day pretty much. #Emily pic.twitter.com/XwIaKG4Jkz,sean_kh
196,598506c276d31349b060b2dc,0,,#travel #getaways,892201525724016640,,1,Soldier Gets Out of Car to Salute Passing Funeral Procession in Pouring Rain #travel #getaways http:// dld.bz/fUSqc,DianeCapri
197,598506c276d31349b060b2dd,0,,,892198686125678592,,0,I would just like to emphasize to everyone here that there was a storm that went from normal rain to tropical storm in like four hours today,YAdultescent
198,598506c276d31349b060b2de,0,,,892198518894493696,@CBS12,0,@CBS12 seriously during ninja warrior you had to break in for what 20 + minutes to talk about rain when it's been on screen all night grrr,Turnfor
199,598506c276d31349b060b2df,0,,,892196011380285440,,0,"Gods not dead, thy will, gold,say amen, send the rain",FretwellRaven
200,598506c376d31349b060b2e0,1,,,892195943113785344,@DaniNeckDeep,0,@DaniNeckDeep will there be new rain once warped tour is over?,svvorn_in
201,598506c376d31349b060b2e1,1,,#TropicalStormEmily,892194576194314240,,0,Holy rain batman. #TropicalStormEmily pic.twitter.com/8fMcfxqv5V,FromFL
202,598506c376d31349b060b2e2,1,,,892193623839821824,,1,can't stand the rain in july,AbrahamsTweets
203,598506c376d31349b060b2e3,1,,,892191631130210304,,0,Yeah I did shit sitting outside in the rain,Tonio_SoNice
204,598506c376d31349b060b2e4,0,,,892190592951779328,,0,"Thanks! You too? I was able to not leave the house till noon and by then it was much better. That was a LOT of rain , js.",aurora_g96
205,598506c376d31349b060b2e5,0,,,892188544629952515,,0,My wannabe meteorologist on the other hand is disappointed it was mostly just rain . He's an odd little person.,Sweet_C13
206,598506c376d31349b060b2e6,0,,,892188228782104582,,0,Today has been odd. Bandit is so afraid of rain . I've been carrying him everywhere and I'm pretty sure I popped a disc in my neck again. Oy.,Sweet_C13
207,598506c376d31349b060b2e7,0,,,892185644109377536,,0,I didn't see any tropical storm in my area. Just some rain,Zubatron
208,598506c376d31349b060b2e8,0,,#disney #disneyphoto #disneyworld,892181256846192640,,0,A lovely night atSaratoga Springs before the rain hit. #disney #disneyphoto #disneyworld … https://www. instagram.com/p/BXOy60shKp2/,gfdf_wdw
209,598506c376d31349b060b2e9,2,,,892178331306795008,,0,The sky is sepia toned after the rain here. It's nuts. But over in OTown it looks like this my son sent me it from where he is pic.twitter.com/qcZkGUdGjP,disneydeb67
210,598506c376d31349b060b2ea,1,,,892173265866764288,@BriceSikes,0,@BriceSikes I was going to blame you for all the rain earlier but it hit from the other direction. Enjoy your vacay!,ladydawginfl
211,598506c376d31349b060b2eb,0,,#Florida,892173050187264002,,0,"Life isn't about waiting for the storm to pass, it's about learning to dance in the rain #Florida ! pic.twitter.com/CjyHysa91P",FloridaTweetzz
212,598506c476d31349b060b2ec,0,,#flwx #news,893206936652570625,,0,Severe Thunderstorm Warning in effect in Lake County until 5 PM #flwx #news http://www. simpleweatheralert.com/cgi-bin/weathe rdetail.py?l=FL1258618F4A28.SevereThunderstormWarning.1258618F6710FL.MLBSVRMLB.6cf379d4e9bf1266cc33056f45fe130a&a=012&t=1 …,SimpleWeatherFL
213,598506c476d31349b060b2ed,0,,,893194971569901568,,0,Live from Scan's House Sunday Nights 8PM EST Firday afternoon Thunderstorm mix from beach 6-20-14 by DJ Scan http:// SimplyRadio.com/Electro pic.twitter.com/Qe97o7wWVl,simplyradio
214,598506c476d31349b060b2ee,0,,,893169866512977924,,0,24/7 Live DJ Sets Firday afternoon Thunderstorm mix from beach 6-20-14 by DJ Scan http:// SimplyRadio.com/Electro pic.twitter.com/dAfBFt4Zde,simplyradio
215,598506c476d31349b060b2ef,0,,#EDM #np,893168858919579648,,0,#EDM on http:// SimplyRadio.com : Simply Electro Radio Dj Sets 24/7 Firday afternoon Thunderstorm by DJ Scan #np http:// simplyradio.com,simplyradio
216,598506c476d31349b060b2f0,0,,#happyday,892816067776708609,@FaceOffSYFY,0,@FaceOffSYFY I survived duty. Got home to be attacked a sharkwolf! I survived. Now the weekly thunderstorm . #happyday,warrengonline
217,598506c476d31349b060b2f1,0,,#thunderstorm,892795594418384897,,0,It's a wet one today #thunderstorm https://www. instagram.com/p/BXTKSr2hCDj/,jessev1976
218,598506c476d31349b060b2f2,0,,#aviation,892742306549202948,,0,"Episode 01: Flying into a Thunderstorm , Part 1 http:// dlvr.it/PbGsW5 #aviation",AIN_SkyWriter
219,598506c476d31349b060b2f3,0,,,892629328089034753,,0,"Wednesday Scattered showers and thunderstorms between 8am and 11am, then showers likely and possibly a thunderstorm after 11am.",EmeryAHayward2
220,598506c476d31349b060b2f4,0,,,892627138817536000,,0,* SEVERE THUNDERSTORM WARNING FOR... SOUTH CENTRAL MONTANA... * UNTIL 1145 PM MDT,EmeryAHayward2
221,598506c476d31349b060b2f5,0,,,892463241812684801,,0,this is going perfectly with the thunderstorm happening outside my window right now,clkluvsux3
222,598506c476d31349b060b2f6,0,,,892459501936418816,,0,We got hit with a massive thunderstorm & my boy is scared https://www. instagram.com/p/BXQxcqAl2SD/,MBPhoto10
223,598506c476d31349b060b2f7,1,,,892392231361032192,,0,I think the rain we had yesterday was identical to a summer thunderstorm,maddiesmom019
224,598506c476d31349b060b2f8,0,,,892209444771254272,@Metaspoon,0,Man Films Ocean During Thunderstorm . And Captured Footage Is Sending Chills Down Everyone’s Spine. http://www. metaspoon.com/ocean-thunders torm?so=pgshM& … via @Metaspoon,2nikkiclick
225,598506c676d31349b060b2f9,0,,,893248930917617664,,0,Lightning McCree,cerabeekman
226,598506c676d31349b060b2fa,1,,,893189337650794496,,0,If the universe struck me with lightning rn do you think I would be able to not take my exam and my professor would give me a 100?,whitehead_liz
227,598506c676d31349b060b2fb,0,,#flwx #news,893176601973862400,,0,Strong T-Storm Near Hastings Moving NE At 20 MPH. Excessive Cloud-to-ground Lightning & Wind Gusts... #flwx #news http://www. simpleweatheralert.com/cgi-bin/weathe rdetail.py?l=FL1258618EFB40.SpecialWeatherStatement.1258618F18F0FL.JAXSPSJAX.d80bcc22dc98f45abd9894ca93a3c21a&a=012&t=0 …,SimpleWeatherFL
228,598506c676d31349b060b2fc,0,,,893149259519975424,,0,Lightning Dragon Breeder! I just bred a Lightning Dragon in DragonVale! Visit my park to check it out! http:// bit.ly/A7Dtgj,13_nike_boii_13
229,598506c676d31349b060b2fd,0,,,893138036581650433,,0,"Oh, and now I broke my only lightning cable. pic.twitter.com/n7MtERByLq",jasonpinero
230,598506c676d31349b060b2fe,0,,,893133246686474240,@myleftfang,0,"@myleftfang my new buddy Lightning just moved in with me, he offers his admiration to You pic.twitter.com/v17jNJfuJU",velvetkitty
231,598506c676d31349b060b2ff,0,,,893123897377398784,@YouTube @Hard,0,"I added a video to a @YouTube playlist http:// youtu.be/5Pn0loFlqBw?a .38 Special ""Chain Lightning "" @Hard Rock Casino Biloxi",metalman1767
232,598506c676d31349b060b300,55,,#GoBolts,893105945097760768,@TBLightning,3,Happy Thursday everyone. Here's my little man. Future @TBLightning player :-) Peyton loves his Lightning . #GoBolts pic.twitter.com/4VcmVbkhqy,bunnyshifter
233,598506c676d31349b060b301,0,,,893066253014900737,,0,I had a dream that I woke up from a lightning strike in a dream. then it happened again. and now im actually awake and there's lightning .,Its_Wrath_Hi
234,598506c676d31349b060b302,0,,#lightning,893065218888269824,,0,Wow when #lightning hits water boom http:// fb.me/10641BQa4,schnauzerhouzer
235,598506c676d31349b060b303,0,,,892875945186656260,,0,Our friends at Cape Coral (FL) Police have sent out this warning re regarding a new telephone scam involving LCEC.,BLPpatrol
236,598506c676d31349b060b304,0,,,892837224500408320,,0,When lightning strikes really close to your house and you jump outta your chair.,TDRLetsPlay
237,598506c676d31349b060b305,0,,#giveaway,892829043661393920,,0,"Wow! I just entered for a chance to win ""Syncwire iPhone Charger Lightning Cable - [Apple..."" by Syncwire. https:// giveaway.amazon.com/p/14b0650cd747 7e14/?ref_=tsm_4_tw_p_tw … #giveaway",aFatFattyCake
238,598506c676d31349b060b306,0,,#Gators,892826579423952896,,0,"Mac called #Gators C T.J. McCoy a "" lightning rod"" for OL last season. Cited energy, drive to play.",ByAndrewOlson
239,598506c676d31349b060b307,0,,,892804363873374208,@YouTube,0,I liked a @YouTube video http:// youtu.be/IpBExGIiO2M?a Dads With Lightning Fast Reflexes Compilation,DoelynDoe
240,598506c676d31349b060b308,10,,#CrystalRiver #Florida #Tampa #Florida,892798097067307008,,1,"Lightning in #CrystalRiver #Florida now near our home! Picture by LucyAnn Cenicola. #Tampa #Florida "" Lightning Capital of the World"" pic.twitter.com/IHCiX2Ga4R",NativeTatanka
241,598506c676d31349b060b309,19,,,892780816593453056,,14,"If you hear thunder, you are close enough to the storm to be struck by lightning . When Thunder Roars, Go Indoors! http:// ow.ly/Hp6y30e6KFx pic.twitter.com/wDvO8wQFxm",FLSERT
242,598506c676d31349b060b30a,0,,#giveaway,892776899927318529,,0,"Wow! I just entered for a chance to win ""Syncwire iPhone Charger Lightning Cable - [Apple..."" by Syncwire. https:// giveaway.amazon.com/p/14b0650cd747 7e14/?ref_=tsm_4_tw_p_tw … #giveaway",mccormackclan
243,598506c676d31349b060b30b,0,,,892772240491769856,,0,Lightning Crashes - Live http:// fb.me/8UpABcL4v,Wicked9mm
244,598506c676d31349b060b30c,1,,,892767364839874560,,0,ecause i get 1000 hugs from 10000 lightning bugs,Yasser__Hussain
245,598506c676d31349b060b30d,3,,#TalesNoir,892743074132230144,,2,“Your Lone Ship in Lightning is a excellent example of the marriage of realism with an added depth of fantasy.” #TalesNoir,bravrayj
246,598506c676d31349b060b30e,2,,,892701551118221312,,0,Lightning here is no joke.,ladydawginfl
247,598506c676d31349b060b30f,0,,,892616483276283904,,0,Person regains pulse after being struck by lightning in Park Tudor parking lot http:// fb.me/8JRCs6rvs,HILLMAN213
248,598506c676d31349b060b310,4,,,892517758910517248,,0,"Don't feel like quoting strangers, so top 5 games: Lightning Returns Dark Souls Dragon's Dogma Jet Set Radio Future Megaman Legends series",Sasquatchulous
249,598506c676d31349b060b311,0,,,892495992272154624,,0,There's a clip of waffle somewhere literally throwing his headset the first time the lightning ever happened. Shit is incredible,noservant_
250,598506c676d31349b060b312,1,,,892476919312199681,,0,"Chill b, people in Miami already don't know how to drive, rain and lightning only make it worse",wavymaurii
251,598506c676d31349b060b313,2,,,892473086448152576,,0,Blue Lightning !,ChemMan3
252,598506c676d31349b060b314,0,,,892473077258432514,,0,i was thinking the same till lightning struck near my house and fried my phone charger,Avionn2
253,598506c676d31349b060b315,1,,,892460980860571648,@YouTube,0,I liked a @YouTube video http:// youtu.be/7ZCJCxctT64?a Tampa Bay Lightning 2017 Hype Video,ItSpursSZN
254,598506c676d31349b060b316,0,,,892457031696883713,,0,"Since we're cleaning house and getting rid of Scaramucci, can we get rid of Beelzebub, too? I know...more thunderbolts & lightning needed.",LoriCeltic1
255,598506c676d31349b060b317,0,,#ThinkSafe,892437641458790400,,0,Learn what you should do if lightning strikes when you’re on a golf course: http:// tkpl.us/9au66 #ThinkSafe pic.twitter.com/4COQg7cw0J,saiains
256,598506c676d31349b060b318,0,,,892406621619585024,@26ladylike,0,The weather is worse today. Right now it's pouring w/loud thunder & lightning . Local weather report brought to you by @26ladylike .,26ladylike
257,598506c676d31349b060b319,0,,,892405349415866368,,0,"At least it's not metal, so it's safe to wear in lightning storms",CT_blog
258,598506c676d31349b060b31a,3,,,892392751433748481,,0,Unpopular Opinion: Having to add fake clouds/sky/stars/ lightning into your shots makes me hold a pic at a pretty low standard.,dreggs
259,598506c676d31349b060b31b,0,,,892364320893538304,@YouTube,0,I liked a @YouTube video http:// youtu.be/GaJdCYP67zM?a Thunder & Lightning - Periodic Table of Videos,justfernandez12
260,598506c676d31349b060b31c,2,,,892349403251576833,@FOX61News,1,Hero dog leads family to unconscious girls after lightning strike in Utah http:// via.fox61.com/KTDLn via @FOX61News,waycoolgizmo
261,598506c676d31349b060b31d,2,,#Lightning #Stars #Rockets #Suns #Astros,892212487004803072,,0,I'm not from Houston...it's a space connection. #Lightning #Stars #Rockets #Suns #Astros,jorgovan45
262,598506c676d31349b060b31e,0,,,892203256696508416,@TB_Times,0,Lightning mourn loss of inspirational fan Tony Colton http://www. tampabay.com/blogs/lightnin g/lightning-mourn-loss-of-inspirational-fan-tony-colton/2332161 … via @TB_Times,MicheleMiller52
263,598506c676d31349b060b31f,0,,,892175458544082945,,0,WHITE LIGHTNING JUG HILLBILLY CORK http:// ivanhoe.ecrater.com/p/27539349/whi te-lightning-jug-hillbilly-cork?utm_source=Twitter&utm_medium=ProductToools&utm_campaign=ShareCrater …,Ivanhoe162Ivan
